datetime,sec_code,open,close,high,low,volume,turnover,amplitude,price_change_percentage,price_change_amount,turnover_rate
2024-12-24,603194,69.99,54.08,69.99,52.58,385496,2322362106.0,85.68,166.14,33.76,77.36
2024-12-25,603194,49.8,44.18,49.9,44.09,285438,1325157884.0,10.74,-18.31,-9.9,57.28
2024-12-26,603194,42.38,43.11,46.56,42.06,225879,994554141.0,10.19,-2.42,-1.07,45.33
2024-12-27,603194,42.03,41.67,43.79,41.42,171713,724063026.0,5.5,-3.34,-1.44,34.46
2024-12-30,603194,41.01,38.24,41.08,38.24,169293,664205230.0,6.82,-8.23,-3.43,33.98
2024-12-31,603194,37.74,35.79,37.97,35.77,144440,528331377.0,5.75,-6.41,-2.45,28.99
2025-01-02,603194,36.2,35.28,36.49,35.13,101903,364659111.0,3.8,-1.42,-0.51,20.45
2025-01-03,603194,35.2,35.72,36.99,34.96,135473,484999215.0,5.75,1.25,0.44,27.19
2025-01-06,603194,35.84,34.25,35.89,33.68,102340,351597411.0,6.19,-4.12,-1.47,20.54
2025-01-07,603194,34.0,34.33,34.43,33.77,73041,248963781.0,1.93,0.23,0.08,14.66
2025-01-08,603194,34.01,34.77,35.06,33.86,88778,306277908.0,3.5,1.28,0.44,17.82
2025-01-09,603194,35.1,35.3,35.94,34.5,103432,364855575.0,4.14,1.52,0.53,20.76
2025-01-10,603194,35.0,35.43,37.63,34.58,125853,452520775.0,8.64,0.37,0.13,25.26
2025-01-13,603194,34.73,34.09,34.99,33.72,79028,271283209.0,3.58,-3.78,-1.34,15.86
2025-01-14,603194,34.1,35.96,35.96,33.9,107787,379841038.0,6.04,5.49,1.87,21.63
2025-01-15,603194,35.75,35.26,36.1,35.06,69461,245874654.0,2.89,-1.95,-0.7,13.94
2025-01-16,603194,35.31,35.26,35.99,35.15,66083,234674677.0,2.38,0.0,0.0,13.26
2025-01-17,603194,34.93,34.48,35.17,34.42,61582,213879705.0,2.13,-2.21,-0.78,12.36
2025-01-20,603194,34.86,35.37,35.85,34.65,72761,256959318.0,3.48,2.58,0.89,14.6
2025-01-21,603194,35.5,35.68,36.02,34.86,70460,250233634.0,3.28,0.88,0.31,14.14
2025-01-22,603194,35.37,34.52,35.37,34.42,67261,234158405.0,2.66,-3.25,-1.16,13.5
