2025-09-08 16:43:34 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:25 - 开始同步历史数据，结束日期: 2025-09-08, 复权: hfq, 并发: 5
2025-09-08 16:43:35 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:41 - 股票代码: 5746, 已有任务: 0
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:58 - 新增任务: 5746
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:85 - 待处理任务: 500
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000001] 开始同步
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000002] 开始同步
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000003] 开始同步
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000004] 开始同步
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000005] 开始同步
2025-09-08 16:43:36 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000001] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000005] 使用数据库最新日期后一天作为开始日期: 20240306
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000003] 使用数据库最新日期后一天作为开始日期: 20020427
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000002] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000004] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:70 - [000003] 未获取到 20020427 至 20250908 的历史数据
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000003] 完成，耗时: 1.10s，记录: 0
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:70 - [000005] 未获取到 20240306 至 20250908 的历史数据
2025-09-08 16:43:37 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000005] 完成，耗时: 1.10s，记录: 0
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000001] 批量插入 1 条新记录
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000001] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000001] 完成，耗时: 1.82s，记录: 1
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000002] 批量插入 1 条新记录
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000002] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000002] 完成，耗时: 2.10s，记录: 1
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000004] 批量插入 1 条新记录
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000004] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:38 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000004] 完成，耗时: 2.16s，记录: 1
2025-09-08 16:43:39 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000006] 开始同步
2025-09-08 16:43:39 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000007] 开始同步
2025-09-08 16:43:39 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000006] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000007] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000008] 开始同步
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 1/500 (0.2%) | 成功:1 失败:0 | 耗时:4s 剩余:1852s
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000008] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000009] 开始同步
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 2/500 (0.4%) | 成功:2 失败:0 | 耗时:4s 剩余:1033s
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000010] 开始同步
2025-09-08 16:43:40 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000009] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000010] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 3/500 (0.6%) | 成功:3 失败:0 | 耗时:5s 剩余:762s
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000006] 批量插入 1 条新记录
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000006] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000006] 完成，耗时: 1.70s，记录: 1
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000007] 批量插入 1 条新记录
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000007] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000007] 完成，耗时: 1.66s，记录: 1
2025-09-08 16:43:41 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 4/500 (0.8%) | 成功:4 失败:0 | 耗时:5s 剩余:658s
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000009] 批量插入 1 条新记录
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000009] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000009] 完成，耗时: 1.63s，记录: 1
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000008] 批量插入 1 条新记录
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000008] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000008] 完成，耗时: 2.01s，记录: 1
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 5/500 (1.0%) | 成功:5 失败:0 | 耗时:6s 剩余:590s
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000011] 开始同步
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000010] 批量插入 1 条新记录
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000010] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000010] 完成，耗时: 1.89s，记录: 1
2025-09-08 16:43:42 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000011] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 6/500 (1.2%) | 成功:6 失败:0 | 耗时:7s 剩余:541s
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000012] 开始同步
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000013] 开始同步
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000012] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000013] 使用数据库最新日期后一天作为开始日期: 20040429
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 7/500 (1.4%) | 成功:7 失败:0 | 耗时:7s 剩余:509s
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:70 - [000013] 未获取到 20040429 至 20250908 的历史数据
2025-09-08 16:43:43 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000013] 完成，耗时: 0.71s，记录: 0
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000011] 批量插入 1 条新记录
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000011] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000011] 完成，耗时: 1.52s，记录: 1
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 8/500 (1.6%) | 成功:8 失败:0 | 耗时:8s 剩余:470s
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000014] 开始同步
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000012] 批量插入 1 条新记录
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000014] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000012] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:44 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000012] 完成，耗时: 1.87s，记录: 1
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000015] 开始同步
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 9/500 (1.8%) | 成功:9 失败:0 | 耗时:9s 剩余:477s
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000015] 使用数据库最新日期后一天作为开始日期: 20010609
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 10/500 (2.0%) | 成功:10 失败:0 | 耗时:9s 剩余:458s
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:70 - [000015] 未获取到 20010609 至 20250908 的历史数据
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000015] 完成，耗时: 0.83s，记录: 0
2025-09-08 16:43:45 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000016] 开始同步
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000017] 开始同步
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000016] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000014] 批量插入 1 条新记录
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000017] 使用数据库最新日期后一天作为开始日期: 20250906
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000014] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000014] 完成，耗时: 1.66s，记录: 1
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 11/500 (2.2%) | 成功:11 失败:0 | 耗时:10s 剩余:445s
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist_all:process_symbol:99 - [000018] 开始同步
2025-09-08 16:43:46 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:45 - [000018] 使用数据库最新日期后一天作为开始日期: 20200107
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 12/500 (2.4%) | 成功:12 失败:0 | 耗时:11s 剩余:432s
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:70 - [000018] 未获取到 20200107 至 20250908 的历史数据
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000018] 完成，耗时: 0.66s，记录: 0
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000016] 批量插入 1 条新记录
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:153 - [000016] 成功处理 1 条历史记录 (新增: 1, 更新: 0), 调整类型: hfq
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist_all:process_symbol:112 - [000016] 完成，耗时: 1.53s，记录: 1
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist_all:sync_stock_zh_a_hist_all:175 - 进度 13/500 (2.6%) | 成功:13 失败:0 | 耗时:11s 剩余:414s
2025-09-08 16:43:47 | INFO     | core.sync.sync_hist:sync_stock_zh_a_hist:139 - [000017] 批量插入 1 条新记录
